state_code,state,enrolments,population_2025,per_100k
NSW,New South Wales,402660,8624534,4668.8
VIC,Victoria,321923,7104349,4531.4
QLD,Queensland,148432,5692642,2607.4
WA,Western Australia,89545,3061672,2924.7
SA,South Australia,57004,1908182,2987.3
ACT,Australian Capital Territory,21680,486231,4458.8
TAS,Tasmania,9408,576659,1631.5
NT,Northern Territory,6001,265457,2260.6
